fabian roth,gergely krausz,21,9,5/21/15
fabian roth,gergely krausz,21,14,5/21/15
pablo abian,fabian roth,21,19,5/22/15
pablo abian,fabian roth,21,17,5/22/15
kento momota,wei nan,23,21,5/27/15
kento momota,wei nan,21,17,5/27/15
takuma ueda,hsu jen hao,21,11,5/27/15
hsu jen hao,takuma ueda,22,20,5/27/15
takuma ueda,hsu jen hao,21,17,5/27/15
rajiv ouseph,chou tien chen,21,17,5/28/15
chou tien chen,rajiv ouseph,21,12,5/28/15
rajiv ouseph,chou tien chen,21,16,5/28/15
wong wing ki vincent,kento momota,21,17,5/28/15
wong wing ki vincent,kento momota,21,6,5/28/15
tian houwei,rajiv ouseph,21,9,5/29/15
tian houwei,rajiv ouseph,21,12,5/29/15
lee dong keun,ihsan maulana mustofa,21,19,6/2/15
lee dong keun,ihsan maulana mustofa,21,19,6/2/15
rajiv ouseph,takuma ueda,21,18,6/3/15
rajiv ouseph,takuma ueda,21,15,6/3/15
hu yun,viktor axelsen,21,13,6/3/15
hu yun,viktor axelsen,21,16,6/3/15
wong wing ki vincent,kento momota,22,20,6/3/15
kento momota,wong wing ki vincent,21,18,6/3/15
kento momota,wong wing ki vincent,21,18,6/3/15
chen long,wei nan,21,19,6/3/15
chen long,wei nan,21,12,6/3/15
parupalli kashyap,tanongsak saensomboonsuk,21,17,6/3/15
parupalli kashyap,tanongsak saensomboonsuk,21,7,6/3/15
pannawit thongnuam,joo ven soong,21,17,6/3/15
pannawit thongnuam,joo ven soong,21,14,6/3/15
chen long,rajiv ouseph,21,16,6/4/15
chen long,rajiv ouseph,21,10,6/4/15
kento momota,hu yun,21,15,6/4/15
kento momota,hu yun,21,17,6/4/15
parupalli kashyap,son wan ho,21,11,6/4/15
parupalli kashyap,son wan ho,21,14,6/4/15
chen long,parupalli kashyap,21,14,6/5/15
parupalli kashyap,chen long,21,17,6/5/15
parupalli kashyap,chen long,21,14,6/5/15
parupalli kashyap,kento momota,21,12,6/6/15
kento momota,parupalli kashyap,21,17,6/6/15
kento momota,parupalli kashyap,21,19,6/6/15
harsheel dani,rosario maddaloni,21,14,6/12/15
harsheel dani,rosario maddaloni,21,17,6/12/15
