,Loser,Winner
130,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12892761,/player/Sam Vuong
131,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910254,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019382
132,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12869976,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12870250
133,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/2033375,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/5883458834
134,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12897624,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/A008855
135,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/HamWix,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Khoihuynh
136,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/662,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/400549
137,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/855963231,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018943
138,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038
139,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1019561,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12880700
140,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12859713,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12895668
141,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12875415,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12886758
142,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/52616,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1018942
143,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12845211,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/1020038
144,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/28917382743,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/Ryan T
145,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/012084397,/player/C36A90FE-DFA8-414B-A8B6-F2BCF6B9B8BD/XX12910254
